column_name,kotlin_property,json_api_key,mysql_type,classification,target_phase,drop_candidate,indexed,query_critical,car_brand_mapping_column,cost_code_or_json_key,notes,reviewed,review_decision,reviewer,review_date,review_notes
id,id,id,BIGINT,KEEP,N/A,NEVER,NO,NO,,,"Primary key; never metadata",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
date,date,date,VARCHAR(50),KEEP,0,NEVER,YES (idx_date),YES,,,"Rixo buying date; VARCHAR legacy; list/search",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
chassis,chassis,chassis,VARCHAR(100),KEEP,N/A,NEVER,YES (idx_chassis),YES,chassis,,"Business key; CSV upsert; not UNIQUE at DB",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
car_model_year,carModelYear,carModelYear,VARCHAR(10),VEHICLE_OVERRIDE,3,LATER,NO,NO,car_model_year,carModelYear,"Resolve from map; override if user edits",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
brand,brand,brand,VARCHAR(100),KEEP,0,NEVER,YES (idx_purchases_brand),YES,car_brand,,"Page-search; keep denorm for list performance",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
car_name,carName,carName,VARCHAR(100),KEEP,0,LATER,YES (idx_car_name),YES,car_name,,"Search + display; may mirror map default",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
shipment_size,shipmentSize,shipmentSize / vehicleType,VARCHAR(50),VEHICLE_OVERRIDE,3,LATER,NO,NO,vehicle_type,shipmentSize,"Alias vehicleType in JSON",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
grade,grade,grade,VARCHAR(100),VEHICLE_OVERRIDE,3,LATER,NO,NO,grade,grade,"Map default + override",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
rank,rank,rank,VARCHAR(100),VEHICLE_OVERRIDE,3,LATER,NO,NO,rank,rank,"Reserved word column",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
color,color,color,VARCHAR(100),VEHICLE_OVERRIDE,3,LATER,NO,NO,color,color,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
fuel,fuel,fuel,VARCHAR(100),VEHICLE_OVERRIDE,3,LATER,NO,NO,fuel,fuel,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
seat,seat,seat,VARCHAR(100),VEHICLE_OVERRIDE,3,LATER,NO,NO,seat,seat,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
door,door,door,VARCHAR(100),VEHICLE_OVERRIDE,3,LATER,NO,NO,door,door,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
distance,distance,distance,VARCHAR(100),VEHICLE_OVERRIDE,3,LATER,NO,NO,,distance,"Purchase-only; not on chassis map",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
options,options,options,TEXT,EXTENDED_JSON,4,LATER,NO,NO,,options,"Long text; bundle in extended_attributes",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
CC,cc,cc,INT,VEHICLE_OVERRIDE,3,LATER,NO,NO,cc,cc,"Map stores cc as VARCHAR; purchase as INT",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
shift,shift,shift,VARCHAR(50),VEHICLE_OVERRIDE,3,LATER,NO,NO,shift,shift,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
WD,wd,wd,VARCHAR(50),VEHICLE_OVERRIDE,3,LATER,NO,NO,wd,wd,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
drive_type,driveType,driveType,VARCHAR(50),VEHICLE_OVERRIDE,3,LATER,NO,NO,drive_type,driveType,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
auction_no,auctionNo,auctionNo,VARCHAR(100),EXTENDED_JSON,4,LATER,NO,NO,,auctionNo,"Supplier/auction reference",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
auction_house,auctionHouse,auctionHouse / auctionName,VARCHAR(100),KEEP,0,NEVER,YES (idx_purchases_auction_house),YES,,,"Page-search supplier; links to rixo_prices logically",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
stock_location,stockLocation,stockLocation,VARCHAR(100),KEEP,0,LATER,NO,YES,,,"Booking filters; distinct dropdowns",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
pol,pol,pol,VARCHAR(100),KEEP,0,NEVER,NO,YES,,,"Booking + invoice filters",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
pod,pod,pod / destination,VARCHAR(255),KEEP,0,LATER,NO,YES,,,"JSON alias destination",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
rixo_company,rixoCompany,rixoCompany,VARCHAR(100),KEEP,0,LATER,NO,YES,,,"Distinct dropdowns; Rixo flow",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
client_name,clientName,clientName,VARCHAR(100),KEEP,0,LATER,YES (idx_client_name),YES,,,"Page-search; denorm from clients",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
consignee,consignee,consignee,TEXT,RESOLVE_CLIENT_MAP,4,LATER,NO,YES,,,"Default from client_map; store override only",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
client_id,clientId,clientId,BIGINT,KEEP,N/A,NEVER,YES (idx_purchase_client_id),YES,,,"FK logical; ledger resolution",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
country,country,country,VARCHAR(100),KEEP,0,NEVER,NO,YES,,,"Booking country filter",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
price,price,price,VARCHAR(50),COST_LINE,2,LATER,NO,MEDIUM,,PRICE,"Legacy VARCHAR money",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
auction_fee,auctionFee,auctionFee,VARCHAR(50),COST_LINE,2,LATER,NO,NO,,AUCTION_FEE,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
auction_penalty_fee,auctionPenaltyFee,auctionPenaltyFee,VARCHAR(50),COST_LINE,2,LATER,NO,NO,,AUCTION_PENALTY_FEE,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
recycle_fee,recycleFee,recycleFee,VARCHAR(50),COST_LINE,2,LATER,NO,NO,recycle_fee,RECYCLE_FEE,"Often from map; still a cost line on purchase",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
road_tax,roadTax,roadTax,VARCHAR(50),COST_LINE,2,LATER,NO,NO,,ROAD_TAX,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
tax_total,taxTotal,taxTotal,VARCHAR(50),COST_LINE,2,LATER,NO,NO,,TAX_TOTAL,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
total_price,totalPrice,totalPrice,VARCHAR(50),KEEP,2,NEVER,NO,YES,,TOTAL_PRICE,"Keep as column for list sort/display; also cost line",APPROVED,KEEP,owner,2026-06-26,Solo review — default plan accepted
payment_date,paymentDate,paymentDate,VARCHAR(50),EXTENDED_JSON,4,LATER,NO,NO,,paymentDate,,APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
rixo_requested,rixoRequested,rixoRequested,VARCHAR(10),WORKFLOW_CONSOLIDATE,1,YES,NO,YES,,,"Legacy VARCHAR; derive from workflow_status",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
rixo_confirmed,rixoConfirmed,rixoConfirmed,VARCHAR(10),WORKFLOW_CONSOLIDATE,1,YES,NO,YES,,,"Booking queries use IN (TRUE,1); migrate before drop",APPROVED,MIGRATE,owner,2026-06-26,Solo review — default plan accepted
